"File","Header","Footer","Logo","MainNav","Contact","Phone","FooterLinks"
"pages\about-widget-knowledge-base-google-calendar-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-google-reviews-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-hover-image-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-image-shapes-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-interactive-map-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-mega-menus-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-popup-carousel-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-price-slider-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-pricing-table-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-product-slider-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-property-listing-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-section-separator-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-side-menu-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-social-share-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-sticky-button-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-sticky-social-icons-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-store-finder-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-store-location-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-stripe-payment-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-tab-slider-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-table-creator-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-tabs-layout-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-testimonial-slider-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-twitter-feed-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-typewriter-text-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-video-carousel-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base-video-grid-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-widget-knowledge-base.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-domain-names.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-professional-email.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-abandoned-cart-recovery-by-monto.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-accessibility-by-audioeye.html","YES","YES","YES","YES","YES","NO","YES"
"pages\addons-website-app-store-accessibility-by-userway.html","YES","YES","YES","YES","YES","NO","YES"
"pages\addons-website-app-store-affiliates-by-monto.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-age-verification-age-gate-18.html","YES","YES","YES","YES","YES","NO","YES"
"pages\addons-website-app-store-agentz-ai.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-all-in-one-widget-suite.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-amp-faster-websites.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-announcements-changelog.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-audio-player.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-automated-customer-reviews.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-automated-product-labels-badges.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-bablic.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-book-like-a-boss.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-bookafy.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-calculator-builder.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-charts-graphs.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-chatfully.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-chatway-live-chat.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-chatwith-whatsapp-widget.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-clawdia-ai.html","YES","YES","YES","YES","YES","NO","YES"
"pages\addons-website-app-store-cloud-campaign.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-common-ninja-ai-chatbot.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-common-ninja-all-in-one-reviews.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-common-ninja-google-reviews.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-comparison-tables.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-contact-forms-builder.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-countdown-timer-bar.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-crm-by-monto.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-currency-converter-by-monto.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-customer-testimonials.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-embedfeed.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-embedreviews.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-hellobar-targeted-pop-ups.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-image-hotspot.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-iubenda.html","YES","YES","YES","YES","YES","NO","YES"
"pages\addons-website-app-store-membership.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-movylo.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-octotable.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-owwlish-online-courses.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-paperform.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-plum-popup-builder.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-product-reviews-by-monto.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-rss-social-media-stream.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-seo-opportunities.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-simplybook-me.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-simplyprofit.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-site-search-360.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-splitit.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-springtime.html","YES","YES","YES","YES","YES","NO","YES"
"pages\addons-website-app-store-subscribers-web-push-notifications.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-termageddon.html","YES","YES","YES","YES","YES","NO","YES"
"pages\addons-website-app-store-termly.html","YES","YES","YES","YES","YES","NO","YES"
"pages\addons-website-app-store-tockify-events-calendar.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-uberall.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-upmenu.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-usercentrics.html","YES","YES","YES","YES","YES","NO","YES"
"pages\addons-website-app-store-vcita.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-web-stories.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-whatsapp-chat-buttons.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-woorank.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store-zip-buy-now-pay-later.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons-website-app-store.html","YES","YES","YES","YES","YES","NO","YES"
"pages\addons-widgets.html","YES","YES","YES","YES","YES","NO","NO"
"pages\addons.html","YES","YES","YES","YES","YES","NO","NO"
"pages\contact.html","YES","YES","YES","YES","YES","YES","NO"
"pages\design-branding.html","YES","YES","YES","YES","YES","NO","NO"
"pages\design-graphic-design.html","YES","YES","YES","YES","YES","NO","NO"
"pages\design-logo-design.html","YES","YES","YES","YES","YES","NO","NO"
"pages\design-professional-editor.html","YES","YES","YES","YES","YES","NO","NO"
"pages\design-simple-editor.html","YES","YES","YES","YES","YES","NO","NO"
"pages\design-website-design.html","YES","YES","YES","YES","YES","YES","YES"
"pages\design.html","YES","YES","YES","YES","YES","NO","NO"
"pages\digital-ads-amazon-advertising.html","YES","YES","YES","YES","YES","NO","NO"
"pages\digital-ads-google-advertising.html","YES","YES","YES","YES","YES","NO","YES"
"pages\digital-ads-local-services-advertising.html","YES","YES","YES","YES","YES","NO","NO"
"pages\digital-ads-microsoft-advertising.html","YES","YES","YES","YES","YES","NO","NO"
"pages\digital-ads-social-media-advertising.html","YES","YES","YES","YES","YES","NO","NO"
"pages\digital-ads-television-advertising.html","YES","YES","YES","YES","YES","NO","NO"
"pages\digital-ads.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-accounting-firms.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-appliance-stores.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-artists-creators.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-arts-organizations.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-assisted-living.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-auto-repair.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-automotive.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-bakeries.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-beauty-salons.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-breweries.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-builders-contractors.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-car-dealerships.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-car-detailing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-car-washes.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-catering.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-child-care.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-chiropractors.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-cleaning-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-clothing-ecommerce.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-collections.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-community-organizations.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-construction-design.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-consultants.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-courier-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-dental-medical.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-dentists.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-dermatology.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-dog-adoption.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-driving-schools.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-ecommerce-stores.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-electricians.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-equestrian.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-esports.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-event-venues.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-fashion-boutiques.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-fencing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-festivals.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-financial-advisors.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-fire-water-damage.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-fitness-gyms.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-flooring.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-food-trucks.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-franchise-multi-location.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-furniture-stores.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-gaming.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-garage-door-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-glass-companies.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-golf-recreation.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-hair-salons.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-hardware-stores.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-home-care.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-home-decor.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-home-inspections.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-home-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-hotels-hospitality.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-hvac.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-industrial-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-insurance.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-interior-designers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-investor-relations.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-it-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-janitorial-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-jewelry-stores.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-kitchen-bath.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-landscaping.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-law-firms.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-lawn-care.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-local-retail.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-locksmiths.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-logistics.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-machinery-movers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-managed-service-providers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-manufacturing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-marketing-agencies.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-martial-arts-schools.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-med-spas.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-mental-health-practices.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-motorcycle-dealers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-moving-storage.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-nonprofits.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-optometrists.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-packaging-retail.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-painting-contractors.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-parking-mobility.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-personal-trainers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-pest-control.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-pet-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-photographers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-physical-therapy.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-plastic-surgery.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-plumbing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-pool-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-printing-signage.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-private-investigators.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-real-estate.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-recreational-vehicles.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-remodeling.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-restaurants-cafes.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-restaurants.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-restoration-companies.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-roofing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-saas-platforms.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-schools-education.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-security-companies.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-senior-living.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-software-companies.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-solar-energy.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-specialty-practices.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-sunglasses-eyewear.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-tattoo-shops.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-tire-shops.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-towing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-transportation.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-tree-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-trucking.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-tutoring-centers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-urgent-care.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-veterinary-clinics.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-videographers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-water-utilities.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-wedding-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-wholesale-distributors.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-window-door-companies.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries-yoga-studios.html","YES","YES","YES","YES","YES","NO","NO"
"pages\industries.html","YES","YES","YES","YES","YES","NO","NO"
"pages\marketing-aeo.html","YES","YES","YES","YES","YES","NO","NO"
"pages\marketing-email-marketing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\marketing-gmb.html","YES","YES","YES","YES","YES","NO","NO"
"pages\marketing-local-listings.html","YES","YES","YES","YES","YES","NO","NO"
"pages\marketing-local-seo.html","YES","YES","YES","YES","YES","NO","NO"
"pages\marketing-national-seo.html","YES","YES","YES","YES","YES","NO","NO"
"pages\marketing-seo.html","YES","YES","YES","YES","YES","NO","NO"
"pages\marketing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\pricing-advertising.html","YES","YES","YES","YES","YES","NO","NO"
"pages\pricing-design.html","YES","YES","YES","YES","YES","NO","NO"
"pages\pricing-marketing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\pricing-packages.html","YES","YES","YES","YES","YES","NO","NO"
"pages\pricing-widgets.html","YES","YES","YES","YES","YES","NO","NO"
"pages\pricing.html","YES","YES","YES","YES","YES","NO","NO"
